epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,71567.4,1.06047,0.9282,1.31215,0.81429,0.656,0.7472,0.45978,1.43615,1.17119,1.59823,0.0002674,0.0002674,0.0002674
76,71862.4,1.06271,0.90123,1.32217,0.85757,0.61163,0.76451,0.4751,1.42843,1.13093,1.58215,0.0002575,0.0002575,0.0002575
77,72144.6,1.03908,0.89189,1.29907,0.74084,0.72408,0.76836,0.47449,1.43855,1.12622,1.60361,0.0002476,0.0002476,0.0002476
78,72456.4,1.05982,0.89205,1.31336,0.6858,0.77526,0.76016,0.46516,1.47333,1.16574,1.60083,0.0002377,0.0002377,0.0002377
79,72800.9,1.05211,0.87866,1.32382,0.84541,0.63323,0.75258,0.49187,1.42472,1.13808,1.57592,0.0002278,0.0002278,0.0002278
80,73083.6,1.01392,0.84702,1.27158,0.84934,0.64109,0.7694,0.47351,1.43539,1.11645,1.5664,0.0002179,0.0002179,0.0002179
81,73356.8,1.02138,0.86728,1.29127,0.73455,0.71731,0.77684,0.48371,1.40253,1.12829,1.55866,0.000208,0.000208,0.000208
82,74441.5,1.00632,0.85338,1.27948,0.87609,0.60403,0.75658,0.47652,1.42625,1.19016,1.58222,0.0001981,0.0001981,0.0001981
83,75875.7,1.01181,0.86379,1.28748,0.88712,0.62894,0.76396,0.47557,1.44068,1.16949,1.58242,0.0001882,0.0001882,0.0001882
84,76181,1.007,0.81512,1.26265,0.83168,0.62894,0.76656,0.48281,1.43893,1.16061,1.63801,0.0001783,0.0001783,0.0001783
85,76461.8,1.01309,0.83593,1.28695,0.7757,0.70304,0.76768,0.48204,1.42304,1.13618,1.61767,0.0001684,0.0001684,0.0001684
86,77226.3,0.9765,0.78608,1.23805,0.82151,0.69877,0.77288,0.48904,1.3964,1.1367,1.60097,0.0001585,0.0001585,0.0001585
87,77566.8,0.9818,0.83249,1.25599,0.80931,0.69646,0.76713,0.49817,1.3855,1.13295,1.5849,0.0001486,0.0001486,0.0001486
88,77902.8,1.01496,0.8319,1.28358,0.81455,0.67875,0.78329,0.50327,1.39772,1.11903,1.57313,0.0001387,0.0001387,0.0001387
89,78189.8,1.00389,0.83254,1.27652,0.80669,0.70474,0.7844,0.49472,1.40216,1.11589,1.58603,0.0001288,0.0001288,0.0001288
90,78682.5,0.99781,0.81381,1.2834,0.81456,0.7045,0.77561,0.47593,1.44347,1.07307,1.62329,0.0001189,0.0001189,0.0001189
91,78947.2,0.83791,0.61586,1.17259,0.86842,0.65969,0.76142,0.46117,1.46246,1.10616,1.6607,0.000109,0.000109,0.000109
92,79211.2,0.8158,0.57546,1.16606,0.86804,0.66083,0.7517,0.45702,1.45355,1.17338,1.63197,9.91e-05,9.91e-05,9.91e-05
93,79479.5,0.78391,0.52036,1.12873,0.82727,0.6559,0.74457,0.46047,1.44483,1.17879,1.62904,8.92e-05,8.92e-05,8.92e-05
94,79739.8,0.77401,0.49812,1.12637,0.77562,0.70107,0.7505,0.46213,1.43987,1.17816,1.62725,7.93e-05,7.93e-05,7.93e-05
95,80001.9,0.72141,0.45872,1.08133,0.7764,0.71015,0.75418,0.45905,1.46487,1.14732,1.66944,6.94e-05,6.94e-05,6.94e-05
96,80261.7,0.74813,0.46005,1.10434,0.75468,0.72662,0.75407,0.46812,1.46635,1.10781,1.67138,5.95e-05,5.95e-05,5.95e-05
97,80527.2,0.80144,0.52493,1.15766,0.75524,0.72665,0.75306,0.46768,1.4367,1.11587,1.64907,4.96e-05,4.96e-05,4.96e-05
98,80789.8,0.75517,0.50522,1.11363,0.75973,0.71332,0.75165,0.47045,1.44359,1.12283,1.64704,3.97e-05,3.97e-05,3.97e-05
99,81050.8,0.73018,0.45301,1.09245,0.75352,0.73163,0.75354,0.46931,1.45865,1.13392,1.65055,2.98e-05,2.98e-05,2.98e-05
100,81309.5,0.73265,0.4557,1.09212,0.76931,0.72147,0.75287,0.46939,1.45988,1.13659,1.65515,1.99e-05,1.99e-05,1.99e-05
